30
0;Nelabamibec
1;Daroowekeho
2;Duqacoxajio
3;Wuroseyuleb
4;Efoarabenac
5;Digexapuler
6;Elonupipufu
7;Koopomooqon
8;Wukaewusemu
9;Bauqolejivi
10;Wedaqebuixa
11;Veribejutis
12;Nowaqojuafi
13;Dorasofaben
14;Uvehefusuqe
15;Woquacuhehe
16;Varemenozik
17;Popuraxoite
18;Yuacohokecu
19;Coenitemogo
20;Wuwacapuiqu
21;Kiyidacodiw
22;Hoacaoharet
23;Qovacugipoo
24;Qosioagewun
25;Yoxozegogap
26;Berebonoade
27;Ugaumeqedau
28;Botikixuoac
29;Hedomexudey
0.00;78.48;105.53;45.05;29.71;0.00;0.00;0.00;68.56;0.00;0.00;0.00;82.95;0.00;51.71;0.00;62.88;0.00;59.89;85.13;0.00;0.00;0.00;107.73;0.00;76.60;0.00;53.52;0.00;0.00
78.48;0.00;36.00;0.00;0.00;102.83;27.23;37.89;0.00;93.15;31.64;0.00;0.00;82.45;102.66;0.00;51.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;59.73;53.44;0.00;0.00;93.94;0.00
105.53;36.00;0.00;82.73;29.77;0.00;0.00;108.98;0.00;0.00;30.12;79.42;0.00;0.00;36.31;102.45;64.56;10.76;79.05;0.00;0.00;0.00;72.17;0.00;81.39;62.85;16.14;61.84;0.00;0.00
45.05;0.00;82.73;0.00;41.21;73.01;0.00;21.75;35.99;68.49;0.00;28.16;88.95;80.30;56.04;42.06;0.00;44.77;77.98;105.10;0.00;0.00;93.91;62.21;44.80;94.91;0.00;0.00;57.85;33.72
29.71;0.00;29.77;41.21;0.00;33.00;0.00;0.00;51.81;0.00;31.46;0.00;51.15;63.34;0.00;68.15;96.43;107.47;46.49;35.44;13.12;109.21;80.62;34.29;0.00;0.00;92.85;0.00;106.47;0.00
0.00;102.83;0.00;73.01;33.00;0.00;89.05;74.94;107.74;0.00;60.68;52.69;0.00;0.00;16.55;93.35;86.29;0.00;0.00;0.00;0.00;66.08;100.13;0.00;32.66;42.34;16.07;0.00;76.25;24.75
0.00;27.23;0.00;0.00;0.00;89.05;0.00;22.92;53.98;65.46;40.41;74.71;0.00;21.33;0.00;59.22;52.43;0.00;0.00;68.63;44.30;0.00;0.00;0.00;95.13;0.00;0.00;0.00;0.00;55.44
0.00;37.89;108.98;21.75;0.00;74.94;22.92;0.00;24.69;100.88;105.19;0.00;0.00;0.00;0.00;39.01;21.55;0.00;98.17;0.00;19.57;0.00;72.97;86.13;90.86;0.00;0.00;0.00;0.00;0.00
68.56;0.00;0.00;35.99;51.81;107.74;53.98;24.69;0.00;86.60;99.77;31.36;0.00;0.00;0.00;0.00;50.96;0.00;34.25;105.30;0.00;47.42;39.31;63.66;101.12;18.68;0.00;0.00;33.74;0.00
0.00;93.15;0.00;68.49;0.00;0.00;65.46;100.88;86.60;0.00;49.49;0.00;0.00;81.85;0.00;0.00;35.70;0.00;67.13;71.23;0.00;0.00;84.12;0.00;0.00;0.00;0.00;82.31;0.00;100.31
0.00;31.64;30.12;0.00;31.46;60.68;40.41;105.19;99.77;49.49;0.00;59.54;0.00;0.00;0.00;0.00;0.00;68.27;0.00;0.00;0.00;15.97;0.00;52.13;0.00;0.00;0.00;84.23;100.55;60.57
0.00;0.00;79.42;28.16;0.00;52.69;74.71;0.00;31.36;0.00;59.54;0.00;43.61;0.00;40.16;92.31;60.76;50.48;0.00;0.00;0.00;0.00;69.99;105.81;87.82;75.25;83.60;0.00;68.66;103.13
82.95;0.00;0.00;88.95;51.15;0.00;0.00;0.00;0.00;0.00;0.00;43.61;0.00;35.20;84.19;0.00;0.00;0.00;22.69;48.82;48.89;0.00;76.28;0.00;84.09;0.00;96.75;105.30;0.00;101.20
0.00;82.45;0.00;80.30;63.34;0.00;21.33;0.00;0.00;81.85;0.00;0.00;35.20;0.00;108.62;0.00;0.00;0.00;80.96;0.00;0.00;0.00;96.08;93.96;48.08;0.00;0.00;63.16;105.34;63.48
51.71;102.66;36.31;56.04;0.00;16.55;0.00;0.00;0.00;0.00;0.00;40.16;84.19;108.62;0.00;52.67;0.00;38.14;0.00;0.00;35.92;0.00;0.00;99.23;0.00;71.52;0.00;0.00;70.54;22.45
0.00;0.00;102.45;42.06;68.15;93.35;59.22;39.01;0.00;0.00;0.00;92.31;0.00;0.00;52.67;0.00;89.78;0.00;0.00;0.00;40.40;52.81;38.31;0.00;52.64;38.10;0.00;35.47;75.81;0.00
62.88;51.83;64.56;0.00;96.43;86.29;52.43;21.55;50.96;35.70;0.00;60.76;0.00;0.00;0.00;89.78;0.00;21.65;88.18;19.07;10.29;12.83;83.78;0.00;0.00;34.09;0.00;0.00;68.30;81.20
0.00;0.00;10.76;44.77;107.47;0.00;0.00;0.00;0.00;0.00;68.27;50.48;0.00;0.00;38.14;0.00;21.65;0.00;86.80;0.00;0.00;109.64;0.00;77.20;70.02;0.00;87.84;54.06;0.00;77.46
